SampleID,Shannon,Compartments
ck,1.537476961,ck_se
ck,2.315428044,ck_se
ck,3.381862837,ck_se
ck,2.237427764,ck_se
ck,2.006463865,ck_se
ck,2.225210499,ck_se
Xs,2.81904707,Xs_se
Xs,1.079472158,Xs_se
Xs,2.654965054,Xs_se
Xs,2.44791517,Xs_se
Xs,3.049708085,Xs_se
ck,3.922268536,ck_rhi
ck,4.441218493,ck_rhi
ck,3.407929264,ck_rhi
ck,4.626872306,ck_rhi
ck,4.527453096,ck_rhi
ck,4.545957668,ck_rhi
Xs,4.656686212,Xs_rhi
Xs,4.416787243,Xs_rhi
Xs,4.257351077,Xs_rhi
Xs,2.891936082,Xs_rhi
Xs,3.606649578,Xs_rhi
Xs,3.490586364,Xs_rhi
ck,4.805960739,ck_rhi
ck,4.643662437,ck_rhi
ck,4.780140428,ck_rhi
ck,4.652241008,ck_rhi
ck,4.644847656,ck_rhi
ck,4.551657777,ck_rhi
Xs,4.939277723,Xs_rhi
Xs,4.734212396,Xs_rhi
Xs,4.815423679,Xs_rhi
Xs,4.933076277,Xs_rhi
Xs,4.793451558,Xs_rhi
Xs,4.722586644,Xs_rhi
ck,5.178188148,ck_rhi
ck,4.786909246,ck_rhi
ck,4.998419031,ck_rhi
ck,5.053085181,ck_rhi
ck,5.06642952,ck_rhi
ck,5.203151379,ck_rhi
Xs,5.148016285,Xs_rhi
Xs,5.220386587,Xs_rhi
Xs,4.800639693,Xs_rhi
Xs,5.163273311,Xs_rhi
Xs,5.012325876,Xs_rhi
Xs,5.005939049,Xs_rhi
ck,5.101509327,ck_rhi
ck,5.118109043,ck_rhi
ck,5.039419003,ck_rhi
ck,5.159925421,ck_rhi
ck,5.081453961,ck_rhi
ck,5.089213438,ck_rhi
Xs,4.959310716,Xs_rhi
Xs,5.120700189,Xs_rhi
Xs,5.123229842,Xs_rhi
Xs,5.098474146,Xs_rhi
Xs,5.14428115,Xs_rhi
Xs,5.281744708,Xs_rhi
ck,1.329528147,ck_st
ck,1.824854976,ck_st
ck,1.901656072,ck_st
ck,1.967958949,ck_st
Xs,2.974529792,Xs_st
Xs,2.1056571,Xs_st
Xs,3.279559831,Xs_st
ck,2.989218127,ck_st
ck,3.347560352,ck_st
ck,2.470771829,ck_st
ck,2.445801228,ck_st
Xs,2.75870005,Xs_st
Xs,2.481371533,Xs_st
Xs,0.420647938,Xs_st
Xs,1.262413629,Xs_st
ck,3.946730358,ck_st
ck,3.282427632,ck_st
ck,3.73958205,ck_st
ck,3.633676808,ck_st
ck,3.051154412,ck_st
ck,2.499282074,ck_st
Xs,3.342201903,Xs_st
Xs,2.931722177,Xs_st
Xs,2.455039701,Xs_st
Xs,2.899797763,Xs_st
Xs,2.607635677,Xs_st
Xs,2.966441586,Xs_st
ck,1.235501332,ck_st
ck,1.344989233,ck_st
ck,2.03278822,ck_st
ck,2.275328568,ck_st
ck,1.91592841,ck_st
ck,1.429422692,ck_st
Xs,2.163624402,Xs_st
Xs,1.707983868,Xs_st
Xs,2.259705112,Xs_st
Xs,2.760431513,Xs_st
Xs,1.157684492,Xs_st
Xs,1.760074564,Xs_st
ck,2.177625751,ck_ro
ck,2.207123677,ck_ro
ck,1.769231727,ck_ro
ck,1.926117304,ck_ro
Xs,3.254385229,Xs_ro
Xs,3.448998235,Xs_ro
Xs,3.05720475,Xs_ro
Xs,3.150423873,Xs_ro
ck,2.761597742,ck_ro
ck,2.701311771,ck_ro
ck,2.884569499,ck_ro
ck,2.176379988,ck_ro
ck,2.585742775,ck_ro
ck,3.171726186,ck_ro
Xs,2.825525772,Xs_ro
Xs,3.033778133,Xs_ro
Xs,0.960001396,Xs_ro
Xs,2.678697051,Xs_ro
Xs,2.722397765,Xs_ro
Xs,3.466570375,Xs_ro
ck,2.865830456,ck_ro
ck,3.526133938,ck_ro
ck,3.881608956,ck_ro
ck,3.570263917,ck_ro
ck,3.440788155,ck_ro
ck,1.047560968,ck_ro
Xs,3.86296246,Xs_ro
Xs,3.647207924,Xs_ro
Xs,2.137507962,Xs_ro
Xs,3.957222979,Xs_ro
Xs,2.450166019,Xs_ro
Xs,3.543941064,Xs_ro
ck,3.374605307,ck_ro
ck,3.191969902,ck_ro
ck,2.97146595,ck_ro
ck,4.320432735,ck_ro
ck,4.09809214,ck_ro
ck,3.88467173,ck_ro
Xs,4.195193023,Xs_ro
Xs,4.366841987,Xs_ro
Xs,3.74442211,Xs_ro
Xs,3.485717836,Xs_ro
Xs,3.814599867,Xs_ro
Xs,4.169772796,Xs_ro
ck,6.007052736,ck_bu
ck,5.870169137,ck_bu
ck,5.94235697,ck_bu
ck,5.948150587,ck_bu
ck,5.814544957,ck_bu
Xs,5.742242922,Xs_bu
Xs,5.908276158,Xs_bu
Xs,6.012747933,Xs_bu
Xs,5.891484517,Xs_bu
